id_campagne,nom,budget,date_debut,statut,canal,pays_cible,date_fin,responsable
CAMP_000057,"TikTok_Retargeting_Automne_57","6720",2024/05/06,"terminé","Display","UK",,"Amira Faure"
CAMP_000058,"Email_Lancement_Ete_58","26398",2023-10-11,"INactif","VIDEO","BE",fev 2024,"Inconnu"
CAMP_000059,"Facebook_Awareness_BlackFriday_59","25867",06-02-2020,"INactif","EMAIL","USA",11/23/2024,"Inconnu"
CAMP_000060,"LinkedIn_Promo_Hiver_60","17800EUR",12-05-2021,"","Video","FR",24-10-2021,""
CAMP_000061,"Email_Conversion_Hiver_61","38874EUR",18-12-2022,"Terminé","SOCIAL","Belgique",05-12-2023,"inconnu"
CAMP_000062,"YouTube_Promo_Q3_62","28990",2022/08/05,"actif","Video","de",2023/06/05,"INCONNU"
CAMP_000063,"Facebook_Lancement_Q3_63","",05.04.2022,"Inactif","social","ES",01/11/2024,"Sophie Martin "
CAMP_000064,"Instagram_Retargeting_Printemps_64","6950",24-06-2020,"INactif","DISPLAY","",2021/09/28,"Amira Faure"
CAMP_000065,"TikTok_Acquisition_Ete_65","6.283EUR",2021/04/25,"Terminé","Display","",,"KARIM LEROUX"
CAMP_000066,"Instagram_Brand_Automne_66","7.712EUR",27-12-2021,"TERMINE","Social Media","USA",2020/04/26,"SOPHIE MARTIN"
CAMP_000067,"Affiliation_Lancement_BlackFriday_67","39646",12/08/2020,"DRAFT","social_media","BE",2021/03/16,"sophie martin"
CAMP_000068,"Facebook_Fidelite_Noel_68","14300 $",2024/04/19,"N/A","Mail","FRANCE",jan 2022,"Sophie Martin "
CAMP_000033,"Twitter_Acquisition_Q3_69","15762",10-12-2023,"Pause","social","BE",10.07.2023," jean dupont "
CAMP_000069,"SEO_Fidelite_Automne_70","2083,00 EUR",02/02/2022,"En_Cours","video","ESPAGNE",2021/12/04,""
CAMP_000070,"Google_Brand_Automne_71","33553 EUR",2020/07/25,"Pause","Mail","GB",20-12-2020,""
CAMP_000071,"Google_Soldes_Ete_72","49529",10-06-2023,"Inactif","Affiliation","BELGIQUE",nov 2020,"karim.leroux"
CAMP_000072,"LinkedIn_Acquisition_Q3_73","25776",08/21/2020,"actif","mail","belgique",2023/11/09,"INCONNU"
CAMP_000073,"Google_Retargeting_Ete_74","20112EUR",10-09-2020,"DRAFT","Affiliation","de",06.11.2020,"inconnu"
CAMP_000074,"Instagram_Soldes_Q4_75","N/A",04.08.2022,"actif","e-mail","Espagne",2020/07/18,""
CAMP_000075,"LinkedIn_Brand_Hiver_76","N/A",27-05-2021,"Pause","DISPLAY","france",,"Sophie Martin"
CAMP_000076,"LinkedIn_Lancement_BlackFriday_77","22378",21-04-2021,"Pause","DISPLAY","SUISSE",2023/10/26,"Amira Faure"
CAMP_000077,"Google_Promo_Q3_78","non defini",2023/01/05,"DRAFT","SEARCH","GB",2023/12/19,"sophie martin"
CAMP_000078,"LinkedIn_Conversion_Printemps_79","43269",2022-09-10,"terminé","display","USA",2020/01/08,"KARIM LEROUX"
CAMP_000079,"Affiliation_Lancement_BlackFriday_80","2.770EUR",26-02-2023,"INACTIF","EMAIL","GB",27-03-2024," Sophie Martin"
CAMP_000080,"Facebook_Retargeting_Printemps_81","38768",2022/08/06,"","Social","Fr",07-06-2022,"KARIM LEROUX"
CAMP_000063,"TikTok_Fidelite_Q1_82","20297EUR",01-07-2022,"","","de",16-04-2021,"Karim Leroux"
CAMP_000081,"LinkedIn_Brand_Q4_83","44808",2023/12/25,"PAUSE","seo","Etats-Unis",25-07-2021,"JEAN DUPONT"
CAMP_000082,"SEO_Lancement_Ete_84","",oct 2022,"Actif","SOCIAL","USA",02/20/2020,"KARIM LEROUX"
CAMP_000083,"Instagram_Brand_Hiver_85","18285",2021/10/28,"INACTIF","SEO","SUISSE",,"Inconnu"
CAMP_000084,"TikTok_Acquisition_Hiver_86","14441",09/26/2023,"N/A","Mail","italie",05/22/2023,"sophie martin"
CAMP_000085,"Instagram_Conversion_BlackFriday_87","24223",2023-02-09,"terminé","EMAIL","ES",2023-08-20,"Jean Dupont"
CAMP_000086,"Email_Acquisition_Q2_88","43046",2020/04/07,"draft","","",2023/08/24,"INCONNU"
CAMP_000087,"SEO_Awareness_Noel_89","23463EUR",2024-11-10,"En cours","Mail","US",15-04-2021,"n/a"
CAMP_000088,"TikTok_Lancement_Q1_90","33445EUR",10-10-2024,"","email","Royaume-Uni",14-09-2020,"SOPHIE MARTIN"
CAMP_000089,"Google_Promo_Q1_91","23966 EUR",21-02-2023,"En cours","email","Royaume-Uni",2020/09/01,"Sophie Martin"
CAMP_000090,"Email_Retargeting_Ete_92","32455",23-07-2020,"INACTIF","SEARCH","France",05-06-2020," jean dupont "
CAMP_000091,"Google_Acquisition_BlackFriday_93","6574",jan 2020,"N/A","DISPLAY","",10.03.2020,"INCONNU"
CAMP_000092,"TikTok_Promo_Automne_94","32648EUR",2023/09/11,"Inactif","Email","Belgique",25-02-2020,"SOPHIE MARTIN"
CAMP_000093,"SEO_Promo_Automne_95","N/A",2020/07/12,"INactif","SEARCH","CH",26-09-2023,"Amira Faure"
CAMP_000094,"LinkedIn_Conversion_Automne_96","38791 EUR",2024/04/19,"En_Cours","SEARCH","Espagne",09-06-2020,"JEAN DUPONT"
CAMP_000095,"Instagram_Awareness_Ete_97","TBD",,"TERMINE","Video","Italie",2020/06/12,"Amira Faure"
CAMP_000096,"Affiliation_Conversion_Q4_98","31295",2024/04/17,"Pause","Social Media","Etats-Unis",05/05/2024,"KARIM LEROUX"
CAMP_000097,"YouTube_Lancement_BlackFriday_99","non defini",2021/04/15,"Terminé","search","FRANCE",18-09-2024,"karim.leroux"
CAMP_000098,"YouTube_Lancement_Q1_100","43188",17-03-2022,"","email","de",2022/08/02,"Sophie Martin"
CAMP_000099,"Instagram_Brand_Ete_101","23900",01/12/2024,"pause","social","france",2021/12/22,"Amira Faure"
CAMP_000100,"LinkedIn_Promo_Q1_102","48254",12/04/2024,"actif","Social","Espagne",,"Sophie Martin"
CAMP_000101,"LinkedIn_Promo_Noel_103","6386",05/27/2020,"pause","seo","IT",,"Sophie Martin"
CAMP_000102,"Twitter_Acquisition_Noel_104","21157",jul 2021,"en_cours","e-mail","Allemagne",09-07-2021,"JEAN DUPONT"
CAMP_000103,"Email_Acquisition_Automne_105","486",2022/02/03,"aCTIF","Display","FRANCE",26-06-2023,"JEAN DUPONT"
CAMP_000104,"TikTok_Soldes_Ete_106","34009",2024/06/04,"Inactif","e-mail","",04/08/2024,"sophie martin"
CAMP_000008,"Email_Retargeting_Printemps_107","28753",2024/09/18,"terminé","Mail","FRANCE",2022/09/23,"Jean Dupont"
CAMP_000105,"Instagram_Fidelite_Q1_108","TBD",2021/09/06,"En_Cours","Social","",11/07/2021,"SOPHIE MARTIN"
CAMP_000106,"YouTube_Awareness_BlackFriday_109","4819EUR",jun 2020,"Pause","VIDEO","france",28-06-2022,"n/a"
CAMP_000107,"SEO_Brand_Ete_110","27803,00 EUR",,"inactif","","france",,"Karim Leroux"
CAMP_000108,"Twitter_Fidelite_Q2_111","11171EUR",2020/09/23,"termine","N/A","CH",14-07-2023,"N/A"
CAMP_000109,"Email_Acquisition_BlackFriday_112","49611EUR",09-01-2022,"inactif","affiliation","Fr",2022-03-19,"sophie martin"
CAMP_000110,"Affiliation_Retargeting_Automne_113","2287 EUR",2024/06/13,"inactif","Search","Allemagne",,"KARIM LEROUX"
CAMP_000111,"SEO_Lancement_Printemps_114","42452",jul 2022,"DRAFT","SOCIAL","Etats-Unis",20-07-2024,"n/a"
CAMP_000112,"SEO_Retargeting_Noel_115","182 $",10-10-2023,"Terminé","Mail","Fr",05-08-2023,"Jean Dupont"
CAMP_000113,"LinkedIn_Promo_BlackFriday_116","TBD",18.01.2024,"En cours","Social Media","BELGIQUE",2020-07-24,""
CAMP_000114,"LinkedIn_Retargeting_Q3_117","40593",aou 2020,"En cours","Search","allemagne",mai 2022,"SOPHIE MARTIN"
CAMP_000115,"SEO_Acquisition_Q4_118","3.727EUR",11/17/2022,"aCTIF","Social Media"," FR ",20-05-2022," jean dupont "
CAMP_000116,"LinkedIn_Acquisition_Q3_119","6.152EUR",02-12-2021,"INactif","DISPLAY","Allemagne",20-04-2023,"JEAN DUPONT"
CAMP_000117,"SEO_Conversion_Q1_120","12268 $",24-10-2024,"Actif","N/A","",2023-10-19,"JEAN DUPONT"
CAMP_000118,"TikTok_Acquisition_Q4_121","31024EUR",17-01-2022,"Actif","Mail","FR",,""
CAMP_000119,"Affiliation_Brand_Q3_122","19672",12-05-2024,"ACTIF","Video","France",,"INCONNU"
CAMP_000120,"Google_Acquisition_Q4_123","36232",03-04-2024,"TERMINE","Social Media","belgique",02/21/2023,"Amira Faure"
CAMP_000121,"YouTube_Acquisition_Automne_124","44966",jul 2024,"aCTIF","VIDEO","CH",,""
CAMP_000122,"Facebook_Lancement_BlackFriday_125","TBD",15-09-2022,"N/A","Display","",2020-03-16,"Amira Faure"
CAMP_000123,"Affiliation_Brand_Hiver_126","TBD",15.12.2023,"Draft","N/A","",19-02-2022,"inconnu"
CAMP_000124,"Instagram_Promo_Ete_127","5366EUR",19-02-2023,"Terminé","e-mail","Fr",05-03-2021,""
CAMP_000125,"LinkedIn_Soldes_Hiver_128","38677",22.04.2022,"draft","social_media","allemagne",," Sophie Martin"
CAMP_000126,"Email_Awareness_Ete_129","14398",2022/11/24,"Inactif","Video","italie",02-10-2020,"KARIM LEROUX"
CAMP_000127,"Twitter_Conversion_Ete_130","31295",2021/01/05,"ACTIF","SOCIAL","Fr",2023/10/23,""
CAMP_000128,"Instagram_Promo_Hiver_131","TBD",25-03-2024,"ACTIF","Display","USA",11-02-2023,"inconnu"
CAMP_000129,"Facebook_Fidelite_Noel_132","28204",16-07-2023,"aCTIF","N/A","fr",07-08-2023,"KARIM LEROUX"
CAMP_000130,"YouTube_Fidelite_Q2_133","42145",2020/06/01,"draft","email","",2023/07/03,"AMIRA FAURE"
CAMP_000131,"Twitter_Brand_Automne_134","24534",15.02.2023,"Inactif","","",,"N/A"
CAMP_000132,"Affiliation_Brand_Hiver_135","13783 $",01-10-2022,"actif","SOCIAL","SUISSE",07-12-2023,"Karim Leroux"
CAMP_000133,"Google_Conversion_BlackFriday_136","43623 EUR",2020-08-20,"INactif","Display","UK",10/22/2023,""
CAMP_000134,"Twitter_Brand_Q4_137","10875EUR",26-08-2023,"Actif","SEO","Fr",2022-09-05,"n/a"
CAMP_000135,"SEO_Conversion_Printemps_138","17354",2022-01-16,"PAUSE","social","Fr",2024/03/06," jean dupont "
CAMP_000136,"TikTok_Awareness_Q1_139","22703EUR",04/06/2021,"PAUSE","mail","US",2020-05-10,"n/a"
CAMP_000137,"Google_Soldes_Q2_140","39628",2024/11/15,"Draft","","ES",01/03/2022,"N/A"
CAMP_000138,"YouTube_Retargeting_Automne_141","31823 $",2024/02/18,"En cours","","FRANCE",15.08.2022,""
CAMP_000139,"Facebook_Fidelite_Ete_142","31270",2024/11/03,"N/A","DISPLAY","SUISSE",01/23/2023,""
CAMP_000140,"Email_Fidelite_Q3_143","32599",mar 2023,"Draft","Affiliation","DE",04/25/2023,"Sophie Martin "
CAMP_000141,"Instagram_Conversion_Ete_144","16695",06.07.2022,"DRAFT","EMAIL","GB",07/27/2020,"Karim Leroux"
CAMP_000142,"LinkedIn_Promo_Q1_145","12728",13-10-2022,"inactif","video","FRANCE",2023/05/11,"Karim Leroux"
CAMP_000143,"Email_Conversion_BlackFriday_146","35224",18-04-2020,"Pause","affiliation","ES",,""
CAMP_000034,"Instagram_Awareness_Q2_147","TBD",2022/05/07,"draft","Search","Espagne",2024-10-01,"karim.leroux"
CAMP_000144,"YouTube_Brand_Q3_148","5.992EUR",21-07-2024,"terminé","SEARCH","france",03/20/2024,"SOPHIE MARTIN"
CAMP_000145,"TikTok_Promo_Hiver_149","45945",2020-01-19,"Actif","Affiliation","GB",10-05-2023,"INCONNU"
CAMP_000146,"TikTok_Promo_Q1_150","45839",2022/08/06,"N/A","","GB",04.07.2022,"Jean Dupont"
CAMP_000147,"Twitter_Lancement_Automne_151","19178",2021/04/16,"Draft","social","UK",,"sophie martin"
CAMP_000148,"Facebook_Awareness_Ete_152","44628",09/02/2023,"Inactif","SEO","GB",2024/08/20,"KARIM LEROUX"
CAMP_000149,"Twitter_Fidelite_BlackFriday_153","24573",10/26/2020,"INactif","VIDEO","",10-11-2024,"n/a"
CAMP_000150,"YouTube_Soldes_BlackFriday_154","44039",06-01-2021,"terminé","display","Italie",08/23/2024," Sophie Martin"
CAMP_000151,"Facebook_Conversion_Ete_155","6984,00 EUR",,"Terminé","email","FR",2020/07/05,""
CAMP_000152,"Google_Fidelite_Noel_156","29455",02-07-2022,"aCTIF","VIDEO","ESPAGNE",,"Sophie Martin"
CAMP_000153,"SEO_Brand_Hiver_157","4768",06/27/2022,"termine","Social Media"," FR ",dec 2021,""
CAMP_000154,"TikTok_Lancement_Q4_158","28848",05/05/2020,"actif","social_media","Italie",10/23/2024,"Jean Dupont"
CAMP_000155,"Facebook_Fidelite_Ete_159","3967,00 EUR",22-11-2020,"N/A","Affiliation","",2024/04/23,"Amira Faure"
CAMP_000156,"SEO_Conversion_Q4_160","8755",2020/04/20,"termine","Display","France",2020/12/26,"Jean Dupont"
CAMP_000157,"YouTube_Soldes_Q1_161","935EUR",26-09-2023,"N/A","Mail","belgique",2020/06/20," Sophie Martin"
CAMP_000158,"TikTok_Promo_Q2_162","21696",2021/06/05,"termine","video","ESPAGNE",11.06.2020,""
CAMP_000159,"TikTok_Promo_BlackFriday_163","48592",2024/10/28,"DRAFT","N/A","BE",2024/06/04," Sophie Martin"
CAMP_000160,"LinkedIn_Fidelite_Q4_164","13838",10/27/2023,"Actif","mail","Italie",07-02-2021,"karim.leroux"
CAMP_000161,"Instagram_Brand_Q4_165","19895",16-05-2021,"ACTIF","Search","IT",,"Sophie Martin "
CAMP_000162,"Twitter_Soldes_Noel_166","36970",2022/02/23,"Pause","mail","FRANCE",10-01-2022,"Amira Faure"
CAMP_000163,"Facebook_Soldes_Ete_167","5120",2021/04/04,"inactif","e-mail","Etats-Unis",2024/06/20,"INCONNU"
CAMP_000083,"Twitter_Awareness_Q4_168","2495EUR",10/25/2023,"DRAFT","EMAIL","",2023/02/10,"karim.leroux"
CAMP_000164,"Instagram_Acquisition_Noel_169","46866 EUR",2020-04-18,"N/A","","FR",,"inconnu"
CAMP_000114,"Twitter_Soldes_BlackFriday_170","",2020/11/21,"actif","SEO","IT",,"JEAN DUPONT"
CAMP_000165,"Twitter_Conversion_Q4_171","3424EUR",28-04-2022,"N/A","SOCIAL","italie",03-04-2023,"KARIM LEROUX"
CAMP_000166,"Email_Awareness_Q2_172","35678",2023/04/22,"En_Cours","SEO","DE",08/04/2023,""
CAMP_000167,"Email_Soldes_Ete_173","13624",2021-03-13,"inactif","SEO","france",22-11-2023,"karim.leroux"
CAMP_000168,"LinkedIn_Lancement_Ete_174","43897",2023/05/03,"aCTIF","social","UK",01.09.2022,"karim.leroux"
CAMP_000169,"Facebook_Acquisition_Q2_175","41167 $",2024/02/16,"Pause","SOCIAL","ES",03.12.2021,"Jean Dupont"
CAMP_000170,"Facebook_Conversion_Automne_176","5091 $",dec 2021,"Terminé","Search","FRANCE",02.12.2022,"SOPHIE MARTIN"
CAMP_000171,"LinkedIn_Acquisition_Q1_177","45853 EUR",07/23/2020,"Pause","social_media","ESPAGNE",01/05/2020,""
CAMP_000172,"Email_Conversion_Ete_178","N/A",28.05.2020,"aCTIF","N/A","italie",07-01-2023,"sophie martin"
CAMP_000173,"Email_Brand_Printemps_179","24701",28-07-2022,"","video","GB",,"Jean Dupont"
CAMP_000174,"Affiliation_Promo_BlackFriday_180","1041",2022-01-21,"En_Cours","SEO","BELGIQUE",2020-01-02,"n/a"
CAMP_000175,"TikTok_Soldes_Hiver_181","TBD",,"ACTIF","Social Media","IT",2024/01/25,"SOPHIE MARTIN"
CAMP_000176,"Twitter_Conversion_Q2_182","27995",20-09-2023,"ACTIF","DISPLAY","Fr",08-07-2023,""
CAMP_000177,"SEO_Fidelite_Noel_183","TBD",27-12-2020,"N/A","social_media","Italie",2024/09/12,""
CAMP_000178,"Facebook_Awareness_Q4_184","3379",,"actif","Social Media","",28-02-2021,"inconnu"
CAMP_000179,"Google_Fidelite_BlackFriday_185","",2022/12/11,"Draft","","Fr",2020/07/03,"n/a"
CAMP_000180,"LinkedIn_Conversion_Hiver_186","19147",13-11-2021,"INACTIF","Email","belgique",01/18/2021,"Sophie Martin "
CAMP_000181,"Twitter_Retargeting_Printemps_187","TBD",2023/10/28,"DRAFT","Mail","Royaume-Uni",2024/01/03,"Jean Dupont"
CAMP_000182,"Google_Awareness_Automne_188","43941,00 EUR",2024/06/17,"inactif","","FR",11/18/2021,"SOPHIE MARTIN"
CAMP_000183,"Google_Promo_Q2_189","44468",2024/06/18,"DRAFT","Video","USA",07-05-2022,"Amira Faure"
CAMP_000184,"Twitter_Acquisition_Ete_190","17508",12-07-2020,"inactif","EMAIL","Suisse",10.08.2021,"KARIM LEROUX"
CAMP_000185,"Affiliation_Retargeting_Q4_191","43829",26-10-2020,"TERMINE","N/A","FRANCE",07-05-2023,"sophie martin"
CAMP_000186,"Facebook_Conversion_Hiver_192","45738 $",05/17/2020,"En_Cours","","belgique",16-06-2023,"Amira Faure"
CAMP_000187,"TikTok_Conversion_Q1_193","16510",2020/06/08,"En cours","","Espagne",01-01-2021,"KARIM LEROUX"
CAMP_000188,"SEO_Conversion_Q3_194","26641",jul 2023,"Pause","mail","",mar 2024,"Sophie Martin"
CAMP_000189,"LinkedIn_Promo_Noel_195","10102",19-07-2020,"actif","Social","UK",19-03-2022,"Inconnu"
CAMP_000190,"Email_Lancement_Automne_196","14653 $",2020/06/09,"PAUSE","email","UK",13.09.2023,"inconnu"
CAMP_000191,"YouTube_Lancement_Noel_197","19994",01-08-2021,"aCTIF","SOCIAL","BELGIQUE",11-12-2021,"Sophie Martin"
CAMP_000192,"Instagram_Retargeting_Hiver_198","",25.06.2022,"N/A","","BE",15-03-2020,"SOPHIE MARTIN"
CAMP_000193,"YouTube_Retargeting_Q2_199","non defini",2023/05/12,"En_Cours","N/A","ES",08/10/2023,"Sophie Martin "
CAMP_000194,"Google_Retargeting_Ete_200","34436",2024-03-20,"Draft","SOCIAL","DE",2023/02/15,"inconnu"
CAMP_000195,"Twitter_Conversion_Q3_201","47477",2020-01-16,"terminé","SEARCH","Etats-Unis",2022/12/06,"N/A"
CAMP_000196,"Facebook_Fidelite_Q3_202","32886,00 EUR",13-06-2022,"terminé","display","DE",14-11-2023,"KARIM LEROUX"
CAMP_000197,"YouTube_Acquisition_Noel_203","48052",16.03.2023,"PAUSE","mail","FR",24-11-2020,"JEAN DUPONT"
CAMP_000198,"YouTube_Fidelite_Hiver_204","4.612EUR",11/27/2021,"inactif","search","",12-12-2021,"Sophie Martin"
CAMP_000199,"SEO_Lancement_Q2_205","24099",24-06-2021,"INactif","social_media","IT",04.10.2022,"sophie martin"
CAMP_000200,"LinkedIn_Retargeting_BlackFriday_206","7926",2024/06/21,"Pause","DISPLAY","IT",aou 2024," jean dupont "
CAMP_000201,"Affiliation_Retargeting_Ete_207","11218",2020/10/25,"En cours","VIDEO","BELGIQUE",2024/03/09,"Amira Faure"
CAMP_000068,"SEO_Conversion_Q2_208","45680",07/27/2024,"DRAFT","Video","USA",2022/04/06,"sophie martin"
CAMP_000202,"Twitter_Acquisition_Q1_209","",2024/07/04,"Inactif","affiliation","DE",avr 2020,"Inconnu"
CAMP_000177,"SEO_Conversion_Automne_210","49201",05/10/2023,"PAUSE","DISPLAY","belgique",2024/01/23,"AMIRA FAURE"
CAMP_000203,"LinkedIn_Awareness_BlackFriday_211","43734",aou 2020,"en_cours","VIDEO","FR",,"Karim Leroux"
CAMP_000204,"YouTube_Retargeting_Q2_212","8099",25.11.2022,"pause","VIDEO","",oct 2024,"Jean Dupont"
CAMP_000205,"LinkedIn_Acquisition_BlackFriday_213","13640",2020/05/23,"Inactif","Email","France",21.11.2022,"Jean Dupont"
CAMP_000206,"Affiliation_Lancement_BlackFriday_214","26819",jun 2020,"actif","Email","France",2024/12/22,"JEAN DUPONT"
CAMP_000207,"Twitter_Awareness_Printemps_215","47448",07-12-2021,"N/A","Social","IT",,"INCONNU"
CAMP_000208,"YouTube_Awareness_Printemps_216","46604EUR",2021/05/07,"aCTIF","Affiliation","belgique",," jean dupont "
