id_interaction,id_lead,type_action,timestamp,canal_interaction,duree_secondes,page_url,note_qualite
INT_00000042,LEAD_0004260,"clic",2023-07-23 16:00:44.346,"mail","331","https://www.monsite.fr/produits","1"
INT_00000043,LEAD_0013513,"purchase",1740861674,"PUSH","491","https://www.monsite.fr/produits","4"
INT_00000044,LEAD_0011559,"",1728628047,"MOBILE","528.50","https://www.monsite.fr/produits","3.1"
INT_00000045,LEAD_0026812,"Achat",1752975419359,"web","","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","3"
INT_00000046,LEAD_0015061,"achat",2026-02-02T08:18:08.143Z,"chat","553.56","https://www.MonSite.fr/contact","0"
INT_00000047,LEAD_0004667,"view",106615,"PUSH","257","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","4"
INT_00000048,LEAD_0001325,"clic",2026-03-08T00:28:20.448Z,"APP","365","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","4.3"
INT_00000049,LEAD_0003039,"CLIC",1722066417,"live_chat","9046","https://www.monsite.fr/accueil","3"
INT_00000050,LEAD_0015582,"achat",06/05/2024," web ","87","https://www.monsite.fr/produits","N/A"
INT_00000051,LEAD_0023783,"vue",1724420393,"mobile","357","","moyen"
INT_00000052,LEAD_0013417,"",971197,"Email","","https://www.MonSite.fr/contact","4"
INT_00000053,LEAD_0022788,"clic",1740659550,"Chat","-62","https://www.MonSite.fr/contact","1"
INT_00000054,LEAD_0026262,"CLIC",1739872972,"email","-267","","2"
INT_00000055,LEAD_0029998,"",2023-10-15T12:06:03.999Z,"Mobile","126","https://www.MonSite.fr/contact","2"
INT_00000056,LEAD_0025196,"vue",2025-11-14T23:56:47.528Z,"SMS","155.14","",""
INT_00000057,LEAD_0023125,"click",16/08/2023,"","","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","2"
INT_00000058,LEAD_0026152,"vue",1760215574,"Mail","176","https://www.monsite.fr/accueil","5/5"
INT_00000059,LEAD_0016841,"vue",1679913802,"","474","","1"
INT_00000060,LEAD_0009576,"CLIC",13/04/2025,"push_notification","15","","4"
INT_00000061,LEAD_0024491,"achat",1768098359741,"Email","207","HTTP://www.monsite.fr/blog","4"
INT_00000062,LEAD_0001589,"VUE",,"mail","-282","https://www.monsite.fr/accueil","2"
INT_00000063,LEAD_0029006,"clic",1688574103,"mobile","518","","4"
INT_00000064,LEAD_0009048,"clic",,"mail","5114","https://www.monsite.fr/produits","1"
INT_00000065,LEAD_0007050,"CLIC",1744061714," mobile ","","www.monsite.fr/promo","1"
INT_00000066,LEAD_0014190,"clic",1739510019854,"push_notification","5283","https://www.monsite.fr/PRODUITS","4"
INT_00000067,LEAD_0028150,"purchase",985278,"WEB","397"," https://www.monsite.fr/accueil ","1"
INT_00000068,LEAD_0020699,"clic",1720252371016,"push_notification","N/A","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","0"
INT_00000069,LEAD_0026999,"purchase",1696450373,"EMAIL","223.64","https://www.MonSite.fr/contact","mauvais"
INT_00000070,LEAD_0011859,"vue",1754383106,"","0","monsite.fr/landing","1"
INT_00000071,LEAD_0024096,"Achat",1768117738204,"","474","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","5"
INT_00000072,LEAD_0001610,"",2025-01-23T11:02:40.251Z,"MOBILE","222","www.monsite.fr/promo","3"
INT_00000073,LEAD_0018545,"click",24/03/2025,"","93.84","https://www.monsite.fr/accueil",""
INT_00000074,LEAD_0014008,"clic",1697314397166,"App","334.68","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","3"
INT_00000075,LEAD_0019732,"clic",18/04/2023,"APP","-178","https://www.monsite.fr/accueil","3.3"
INT_00000076,LEAD_0019628,"clic",,"Live Chat","","/accueil","bon"
INT_00000077,LEAD_0023251,"clic",03/05/2025,"push","361.61","www.monsite.fr/promo","bon"
INT_00000078,LEAD_0005545,"vue",1692618782,"APP","561","https://www.monsite.fr/produits","N/A"
INT_00000079,LEAD_0005041,"vue",285728,"PUSH","187","/accueil","5"
INT_00000080,LEAD_0025018,"VUE",2025-04-02T01:28:29.951Z,"push_notification","499","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","moyen"
INT_00000081,LEAD_0013954,"view",1745320604,"Mail","6","https://www.monsite.fr/accueil","5"
INT_00000082,LEAD_0023012,"click",2025-03-24 13:29:25.644,"WEB","447","","2"
INT_00000083,LEAD_0007375,"vue",1739902724,"chat","10","https://www.monsite.fr/produits","5"
INT_00000084,LEAD_0010059,"",1719970270,"Chat","5 min","","5"
INT_00000085,LEAD_0012321,"Achat",2024-06-24T23:48:37.446Z,"mobile","486s","https://www.MonSite.fr/contact","3"
INT_00000086,LEAD_0013531,"view",2025-06-28T00:42:07.758Z,"chat","","","-2"
INT_00000087,LEAD_0016156,"view",2024-10-26T17:47:16.413Z,"Live Chat","0","HTTP://www.monsite.fr/blog","1"
INT_00000088,LEAD_ORPHAN_95593,"Achat",1686813792,"N/A","587","","5"
INT_00000089,LEAD_0027298,"purchase",2024-10-04T04:52:26.731Z,"Sms","190","https://www.monsite.fr/produits","0"
INT_00000090,LEAD_0028183,"view",1706734395395,"","-195","",""
INT_00000091,LEAD_0010861,"vue",1744162075464,"chat","59"," https://www.monsite.fr/accueil ","2"
INT_00000092,LEAD_0017650,"click",27/07/2024,"Chat","499","www.monsite.fr/promo",""
INT_00000093,LEAD_0028499,"vue",1695292780,"","8 min","HTTP://www.monsite.fr/blog",""
INT_00000094,LEAD_0019551,"achat",1769621471,"email","552.03","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&",""
INT_00000095,LEAD_0006579,"vue",1750251227,"Mobile","231","https://www.monsite.fr/produits/","5"
INT_00000096,LEAD_0022302,"clic",2024-12-08T20:43:52.057Z,"App","167","HTTP://www.monsite.fr/blog","2"
INT_00000097,LEAD_0022423,"clic",2023-11-09T11:49:05.298Z,"mail","-64"," https://www.monsite.fr/accueil ","1"
INT_00000098,LEAD_0001830,"",1709382632,"push_notification","2849","","3"
INT_00000099,LEAD_0003732,"clic",1750612910,"Sms","N/A","https://www.monsite.fr/produits","bon"
INT_00000100,LEAD_0027621,"VUE",652225,"mobile","471.45","www.monsite.fr/promo","mauvais"
INT_00000101,LEAD_0004803,"clic",1758690740,"CHAT","","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","mauvais"
INT_00000102,LEAD_0029293,"clic",1691018192,"push_notification","472","",""
INT_00000103,LEAD_0020770,"CLIC",13/01/2025,"web","400","https://www.monsite.fr/PRODUITS","3"
INT_00000072,LEAD_ORPHAN_93991,"Achat",1732203135,"mobile","-229","https://www.monsite.fr/PRODUITS",""
INT_00000104,LEAD_0001663,"click",1680519415695," mobile ","4 min","HTTP://www.monsite.fr/blog","N/A"
INT_00000105,LEAD_0013416,"clic",29/04/2024,"Chat","0","https://www.monsite.fr/produits","3"
INT_00000106,LEAD_0001424,"achat",2024-08-18T13:14:22.505Z,"","N/A"," https://www.monsite.fr/accueil ","3"
INT_00000107,LEAD_0026666,"CLIC",1756629035,"","0","","2"
INT_00000108,LEAD_0029756,"vue",1772587085,"app","63","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","5"
INT_00000109,LEAD_0011076,"",1745566209164,"Web","510","HTTP://www.monsite.fr/blog",""
INT_00000110,LEAD_0003283,"clic",765256,"","221.89","/accueil","3"
INT_00000111,LEAD_0016673,"",28/07/2024,"CHAT","5179","monsite.fr/landing",""
INT_00000112,LEAD_0017216,"clic",1749137437,"APP","551","monsite.fr/landing","4"
INT_00000113,LEAD_0001166,"view",2024-12-25T04:55:33.920Z,"SMS","472","https://www.monsite.fr/PRODUITS","0"
INT_00000114,LEAD_0024043,"vue",1764853183,"EMAIL","0","monsite.fr/landing","3"
INT_00000115,LEAD_0005227,"achat",244631,"","339s","https://www.MonSite.fr/contact","3/5"
INT_00000116,LEAD_0006486,"view",2024-10-30 09:44:24.054,"EMAIL","488","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","3"
INT_00000117,LEAD_0023012,"clic",1760822752,"MOBILE","7905","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","0"
INT_00000118,LEAD_0005083,"Achat",1706460813,"Push","107"," https://www.monsite.fr/accueil ","0"
INT_00000119,LEAD_0010896,"view",832022,"MOBILE","110","monsite.fr/landing","1"
INT_00000120,LEAD_0016427,"vue",2025-03-23 02:14:07.965,"Mobile","548","/accueil","1"
INT_00000121,LEAD_0016007,"clic",,"Mail","254","","3"
INT_00000122,LEAD_0001370,"clic",1681307989,"live_chat","12","www.monsite.fr/promo","5"
INT_00000123,LEAD_0006063,"",1767900076944,"CHAT","337","/accueil",""
INT_00000124,LEAD_0005701,"achat",20/09/2023,"email","N/A","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","2.0"
INT_00000125,LEAD_ORPHAN_93594,"clic",1717842311,"live_chat","25.69","https://www.monsite.fr/produits","5"
INT_00000126,LEAD_0015967,"clic",21/07/2025,"CHAT","","/accueil","2"
INT_00000127,LEAD_0016694,"clic",2023-10-29T01:18:40.026Z,"Chat","432","www.monsite.fr/promo","9"
INT_00000128,LEAD_0021199,"",1742579335,"CHAT","401","","2"
INT_00000071,LEAD_0011283,"achat",1728009176,"Web","","/accueil","2"
INT_00000129,LEAD_0006368,"clic",2025-11-26T02:33:15.304Z,"WEB","247","https://www.monsite.fr/PRODUITS","0"
INT_00000130,LEAD_0017284,"Achat",1699044935,"","279.58","https://www.monsite.fr/PRODUITS","3.9"
INT_00000131,LEAD_0005145,"vue",2026-01-01 07:34:10.121,"email","0","","4"
INT_00000132,LEAD_0002019,"clic",1679567702,"","591.92","https://www.monsite.fr/accueil","2"
INT_00000133,LEAD_0020708,"clic",2023-11-15T01:29:45.435Z,"live_chat","4 min","HTTP://www.monsite.fr/blog","1"
INT_00000134,LEAD_0026387,"purchase",2023-12-14 06:47:44.553,"sms","-80","https://www.monsite.fr/PRODUITS","4"
INT_00000135,LEAD_0029353,"CLIC",15/03/2024,"EMAIL","0","","5"
INT_00000136,LEAD_0019012,"Achat",1702660262400,"Sms","0"," https://www.monsite.fr/accueil ","5"
INT_00000137,LEAD_0029377,"view",2024-04-18T06:12:29.143Z,"Chat","6201","https://www.monsite.fr/PRODUITS","-3"
INT_00000138,LEAD_0017377,"purchase",2025-05-12T04:04:39.771Z,"Web","","monsite.fr/landing","N/A"
INT_00000139,LEAD_0004075,"clic",1689321048532,"App","176.68","/accueil",""
INT_00000140,LEAD_0020032,"clic",20/06/2024,"push_notification","514","",""
INT_00000141,LEAD_0008474,"vue",1745657511789,"Sms","367s","https://www.MonSite.fr/contact","2"
INT_00000142,LEAD_0014697,"VUE",1679870856,"","122","https://www.monsite.fr/produits","6"
INT_00000143,LEAD_0015117,"CLIC",1686914403,"Sms","N/A","https://www.monsite.fr/accueil","mauvais"
INT_00000144,LEAD_0016007,"",1703773099863,"Chat","503","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","moyen"
INT_00000145,LEAD_0003009,"Achat",1708476356,"N/A","145s","www.monsite.fr/promo","4/5"
INT_00000146,LEAD_0024723,"VUE",24/01/2026,"","549","","2/5"
INT_00000147,LEAD_0006345,"clic",2023-10-13 04:49:19.003,"","450","https://www.monsite.fr/PRODUITS","3.7"
INT_00000148,LEAD_0003299,"clic",1681296858,"Mail","572.72","https://www.monsite.fr/produits","0"
INT_00000149,LEAD_0007627,"Achat",1679574060,"","491","www.monsite.fr/promo","3"
INT_00000150,LEAD_0029409,"clic",2024-10-02T07:23:26.808Z,"Mail","0"," https://www.monsite.fr/accueil ","-4"
INT_00000151,LEAD_0007027,"purchase",2023-04-11T21:45:46.364Z,"mail","478","https://www.MonSite.fr/contact",""
INT_00000152,LEAD_0025643,"purchase",1685624385,"","423","https://www.MonSite.fr/contact","1"
INT_00000153,LEAD_0018059,"",2024-12-28 08:04:30.445,"mail","-208","https://www.monsite.fr/produits?ref=goog&utm_source=cpc",""
INT_00000154,LEAD_0023557,"clic",2024-10-13T08:12:28.370Z,"web","6804","monsite.fr/landing","2"
INT_00000155,LEAD_0014185,"vue",1702322291,"app","-181","https://www.monsite.fr/produits","3"
INT_00000156,LEAD_0029548,"vue",1688218130,"Sms","141","","3"
INT_00000157,LEAD_0024928,"clic",1688654088,"Chat","386","HTTP://www.monsite.fr/blog","1"
INT_00000158,LEAD_0002190,"click",2025-09-19 06:19:45.455,"Sms","0.04","https://www.monsite.fr/PRODUITS","5"
INT_00000159,LEAD_0022715,"clic",2023-06-17T03:28:48.969Z,"mail","480","https://www.monsite.fr/accueil","1"
INT_00000160,LEAD_0017316,"click",02/06/2025," mobile ","239"," https://www.monsite.fr/accueil ",""
INT_00000161,LEAD_0025929,"Achat",2025-12-22T11:49:41.073Z," mobile ","111","https://www.monsite.fr/produits/","1"
INT_00000162,LEAD_0024636,"",,"SMS","519.49","monsite.fr/landing","2"
INT_00000163,LEAD_0000973,"clic",2023-05-16T20:57:04.654Z,"Mobile","N/A","/accueil","2/5"
INT_00000164,LEAD_0012145,"click",1765883926,"PUSH","410","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","5"
INT_00000165,LEAD_0014239,"VUE",2024-10-13T21:54:34.417Z,"MOBILE","440s","https://www.monsite.fr/accueil","3"
INT_00000166,LEAD_0020919,"achat",1752698569,"email","N/A","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","2"
INT_00000167,LEAD_0020184,"clic",1729462112,"live_chat","173","monsite.fr/landing","3"
INT_00000061,LEAD_0010837,"clic",2024-11-08T22:34:17.233Z,"CHAT","","https://www.MonSite.fr/contact","2.9"
INT_00000168,LEAD_0013514,"clic",2025-03-27 12:57:00.843,"push_notification","N/A","","1.6"
INT_00000169,LEAD_0003132,"purchase",170070,"Mail","5910","https://www.monsite.fr/produits?ref=goog&utm_source=cpc",""
INT_00000170,LEAD_0017748,"",1771000151327,"N/A","N/A","","4"
INT_00000171,LEAD_0023255,"view",1713160223204,"N/A","132","https://www.monsite.fr/produits","1"
INT_00000172,LEAD_0020714,"",1687539982356,"WEB","147","HTTP://www.monsite.fr/blog","3"
INT_00000173,LEAD_0008556,"CLIC",335039,"app","415","/accueil",""
INT_00000174,LEAD_0006735,"",,"SMS","113","https://www.monsite.fr/produits/",""
INT_00000175,LEAD_0003335,"VUE",2023-09-01 22:32:55.734,"Mail","0","","5"
INT_00000176,LEAD_0005550,"clic",1689092100,"Live Chat","","monsite.fr/landing","2"
INT_00000177,LEAD_0008541,"",,"EMAIL","-272","https://www.monsite.fr/produits/","0"
INT_00000178,LEAD_0016186,"vue",2024-03-07T20:28:30.142Z,"sms","-21","https://www.MonSite.fr/contact","2"
INT_00000179,LEAD_0013732,"achat",1685046075," mobile ","-221","HTTP://www.monsite.fr/blog",""
INT_00000180,LEAD_0027942,"clic",608328,"CHAT","495","HTTP://www.monsite.fr/blog","4"
INT_00000181,LEAD_0024429,"clic",2026-03-04T19:20:35.671Z,"Sms","541","HTTP://www.monsite.fr/blog","5"
INT_00000182,LEAD_0022034,"vue",784256,"Mail","39.95","","4"
INT_00000183,LEAD_ORPHAN_93964,"vue",1743750556,"PUSH","61","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","3"
INT_00000184,LEAD_0013488,"",1744306373,"Chat","282s","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","2"
INT_00000185,LEAD_0008552,"",1759641888354,"email","401","HTTP://www.monsite.fr/blog","3.5"
INT_00000186,LEAD_0027452,"",2025-12-21 04:37:45.434," mobile ","1810","","1"
INT_00000187,LEAD_0009075,"clic",1766299452101,"mail","0","/accueil","4"
INT_00000188,LEAD_0019722,"clic",16/12/2025,"SMS","N/A","","5"
INT_00000189,LEAD_0018566,"Achat",1697707425,"Web","7014","/accueil","N/A"
INT_00000190,LEAD_0023312,"clic",626732,"mobile","N/A","https://www.monsite.fr/accueil","-2"
INT_00000191,LEAD_0022885,"clic",665467,"mail","449"," https://www.monsite.fr/accueil ","moyen"
INT_00000019,LEAD_ORPHAN_95657,"vue",1753118926,"","532","https://www.monsite.fr/accueil","1"
INT_00000192,LEAD_0020402,"",1711424500401,"EMAIL","-223","https://www.monsite.fr/produits/","-1"
INT_00000193,LEAD_0011161,"clic",1679915783,"Push","592","https://www.MonSite.fr/contact","0"
INT_00000194,LEAD_0006925,"clic",1745045143,"web","179","https://www.monsite.fr/accueil",""
INT_00000195,LEAD_ORPHAN_99082,"view",1747714883,"PUSH","0","https://www.monsite.fr/produits/","5"
INT_00000196,LEAD_0026989,"vue",22/05/2025,"","N/A","","-3"
INT_00000197,LEAD_0020089,"clic",1711114348491,"mobile","557.22","","bon"
INT_00000198,LEAD_0023291,"vue",25/07/2023,"CHAT","550","/accueil","3"
INT_00000199,LEAD_0020453,"purchase",,"Sms","241","monsite.fr/landing",""
INT_00000200,LEAD_0026709,"clic",1742797064,"Sms","0","HTTP://www.monsite.fr/blog","3/5"
INT_00000201,LEAD_0010628,"vue",2023-06-21 05:02:46.532,"sms","","","1"
INT_00000202,LEAD_0015648,"achat",1759899794720,"N/A","260","","1"
INT_00000203,LEAD_0005624,"Achat",1748650729,"sms","0","https://www.monsite.fr/produits","2.3"
INT_00000204,LEAD_0002669,"CLIC",,"EMAIL","-40","/accueil","5"
INT_00000205,LEAD_0016587,"vue",09/08/2024,"mobile","251","https://www.monsite.fr/produits","5"
INT_00000206,LEAD_0016762,"purchase",2023-12-26T21:48:47.888Z,"Mobile","280"," https://www.monsite.fr/accueil ","3"
INT_00000207,LEAD_0007756,"VUE",1700662254,"App","724","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","2.9"
INT_00000208,LEAD_0000955,"Achat",1699204831,"mail","","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&",""
INT_00000209,LEAD_0027349,"VUE",2026-02-22T15:50:34.229Z,"Email","","www.monsite.fr/promo","4.7"
INT_00000210,LEAD_0025090,"",2025-11-03 01:07:53.603,"","422s","https://www.monsite.fr/accueil","5"
INT_00000211,LEAD_0015981,"vue",2025-11-07T02:45:52.491Z,"Web","269.76","","4"
INT_00000212,LEAD_0021684,"clic",1772695560878,"","1 min","https://www.monsite.fr/produits","9"
INT_00000213,LEAD_ORPHAN_99217,"achat",1729234350,"Web","101","https://www.MonSite.fr/contact","3"
INT_00000214,LEAD_0006977,"view",2025-09-20 20:30:17.918,"push_notification","412","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","4"
INT_00000215,LEAD_0009188,"CLIC",1750734072,"APP","587","https://www.MonSite.fr/contact","2/5"
INT_00000216,LEAD_0013865,"vue",1693627385,"app","8 min"," https://www.monsite.fr/accueil ","5"
INT_00000217,LEAD_0007564,"",2024-12-12T05:38:21.632Z,"WEB","-183","https://www.monsite.fr/produits","8"
INT_00000218,LEAD_0002328,"Achat",1724524230,"Live Chat","32","monsite.fr/landing","2"
INT_00000219,LEAD_0001166,"clic",2023-06-22T04:44:45.145Z,"Mail","314","https://www.monsite.fr/accueil","4"
INT_00000220,LEAD_0002243,"",1733207242184,"app","411","","4"
INT_00000221,LEAD_0020448,"click",2025-09-11 04:59:18.058,"web","","","4.3"
INT_00000222,LEAD_0000015,"clic",2023-04-27 13:30:03.220,"","299s","https://www.monsite.fr/produits","moyen"
INT_00000223,LEAD_0001382,"",1685260561,"Chat","87","https://www.monsite.fr/PRODUITS",""
INT_00000224,LEAD_0011908,"Achat",2024-02-15 08:07:35.515,"mail","336","https://www.monsite.fr/PRODUITS","1"
INT_00000225,LEAD_0016963,"",,"mobile","-189","https://www.monsite.fr/produits","3"
INT_00000226,LEAD_0017254,"clic",2024-05-02T10:25:38.758Z,"Chat","25s","","2.2"
INT_00000227,LEAD_0027935,"click",2026-02-19 11:52:42.856,"SMS","318","https://www.monsite.fr/produits","4"
INT_00000228,LEAD_0011068,"click",2023-03-11T01:49:36.973Z,"Mail","","https://www.monsite.fr/produits?ref=goog&utm_source=cpc&","2"
INT_00000229,LEAD_0017461,"Achat",1719746145291," web ","396","https://www.monsite.fr/produits/","3"
INT_00000230,LEAD_0000934,"",,"APP","44","www.monsite.fr/promo","2"
INT_00000231,LEAD_0003835,"vue",2024-01-16T00:20:33.819Z,"chat","124","www.monsite.fr/promo","2.2"
INT_00000232,LEAD_0000721,"clic",30/11/2025," web ","294","","0"
INT_00000233,LEAD_0016799,"CLIC",,"","","www.monsite.fr/promo","N/A"
INT_00000234,LEAD_0011245,"Achat",2025-10-30T18:28:04.249Z,"Sms","8823","https://www.monsite.fr/produits","5"
INT_00000235,LEAD_0002843,"view",1680967509,"Mobile","N/A","https://www.MonSite.fr/contact","bon"
INT_00000236,LEAD_0021548,"",2025-11-19 16:10:50.854,"","-281","",""
INT_00000237,LEAD_0019403,"click",1698989481,"chat","562"," https://www.monsite.fr/accueil ","bon"
INT_00000238,LEAD_0015715,"purchase",1763952695,"push","593","https://www.monsite.fr/produits",""
INT_00000239,LEAD_ORPHAN_95696,"view",2025-05-23T21:32:56.063Z,"chat","0","https://www.monsite.fr/produits","1"
INT_00000240,LEAD_0026186,"clic",2023-09-27 09:54:25.303,"Live Chat","6680","","1"
INT_00000241,LEAD_0016619,"clic",1751670263,"WEB","243","https://www.monsite.fr/PRODUITS","4"
INT_00000242,LEAD_0014601,"Achat",2025-05-12 14:52:52.088,"Web","507","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","1.2"
INT_00000243,LEAD_0005719,"clic",2024-01-29 01:39:14.952,"WEB","272.75"," https://www.monsite.fr/accueil ","3/5"
INT_00000244,LEAD_0011595,"click",01/11/2023,"","337"," https://www.monsite.fr/accueil ",""
INT_00000245,LEAD_0006892,"",1728318679,"chat","64","https://www.monsite.fr/produits","1"
INT_00000246,LEAD_0018110,"vue",1712802799,"EMAIL","","","-2"
INT_00000247,LEAD_ORPHAN_99630,"click",1747943146,"CHAT","505.69","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","-3"
INT_00000248,LEAD_0021908,"purchase",1741113524,"app","0","https://www.monsite.fr/PRODUITS","-4"
INT_00000249,LEAD_0020678,"VUE",2025-04-19T06:14:29.815Z,"","425","/accueil","-4"
INT_00000250,LEAD_0013830,"",2024-05-08T09:44:52.547Z,"email","246"," https://www.monsite.fr/accueil ","2"
INT_00000251,LEAD_0001065,"clic",1691344056,"app","1 min","https://www.MonSite.fr/contact","5"
INT_00000252,LEAD_0006833,"",1707846749,"App","376","https://www.monsite.fr/produits?ref=goog&utm_source=cpc","1"
INT_00000253,LEAD_0017050,"",1720669282,"Sms","527","https://www.MonSite.fr/contact","5"
INT_00000254,LEAD_0009214,"vue",1700018230782,"EMAIL","572","www.monsite.fr/promo","6"
INT_00000255,LEAD_0028272,"purchase",2023-09-07T14:25:02.113Z,"Mail","0","/accueil","5"
INT_00000256,LEAD_0026140,"purchase",1709922524,"Live Chat","144","","3"
INT_00000257,LEAD_0001465,"view",1749631080,"Chat","3 min","https://www.MonSite.fr/contact","5"
INT_00000258,LEAD_0014341,"click",2023-09-27T22:21:46.827Z,"live_chat","178","https://www.monsite.fr/accueil","3.8"
INT_00000259,LEAD_0015354,"vue",1759347581,"Email","477","monsite.fr/landing","0"
INT_00000260,LEAD_0015933,"vue",1701947263," mobile ","74"," https://www.monsite.fr/accueil ",""
INT_00000261,LEAD_0016537,"CLIC",1699283899,"Web","213","https://www.monsite.fr/PRODUITS","2.0"
